iter	Passed	Remaining
0	0	467
1	1	420
2	2	398
3	3	385
4	3	377
5	4	370
6	5	376
7	6	373
8	6	369
9	7	354
10	8	358
11	8	358
12	9	349
13	10	351
14	10	354
15	11	353
16	12	352
17	13	350
18	13	349
19	14	340
20	14	340
21	15	339
22	15	329
23	16	328
24	17	328
25	18	328
26	18	328
27	19	333
28	20	334
29	21	335
30	22	335
31	22	335
32	23	334
33	24	334
34	25	333
35	25	332
36	26	332
37	27	332
38	28	332
39	28	331
40	29	331
41	30	332
42	31	331
43	31	331
44	32	331
45	33	331
46	34	330
47	35	330
48	35	330
49	36	330
50	37	330
51	38	329
52	39	329
53	39	328
54	40	328
55	41	327
56	42	327
57	42	326
58	43	326
59	44	325
60	45	325
61	45	324
62	46	324
63	47	323
64	48	323
65	49	322
66	49	322
67	50	322
68	51	321
69	52	321
70	53	320
71	53	320
72	54	319
73	55	318
74	56	317
75	56	317
76	57	317
77	58	316
78	59	315
79	60	315
80	60	312
81	61	312
82	61	311
83	62	310
84	63	310
85	64	311
86	65	312
87	66	312
88	67	311
89	68	311
90	68	309
91	69	309
92	70	308
93	71	308
94	72	307
95	72	307
96	73	306
97	74	305
98	75	305
99	76	304
100	76	303
101	77	303
102	78	302
103	79	301
104	80	301
105	81	301
106	81	300
107	82	299
108	83	299
109	84	298
110	84	297
111	85	297
112	86	296
113	87	295
114	88	295
115	88	294
116	89	293
117	90	292
118	91	292
119	92	291
120	92	290
121	93	290
122	94	289
123	95	289
124	96	288
125	96	287
126	97	286
127	98	286
128	99	285
129	100	284
130	100	283
131	101	283
132	102	282
133	103	281
134	103	281
135	104	280
136	105	280
137	106	279
138	107	278
139	108	278
140	108	277
141	109	276
142	110	275
143	111	274
144	112	274
145	112	273
146	113	272
147	114	271
148	115	270
149	115	270
150	116	269
151	117	268
152	118	267
153	118	267
154	119	266
155	120	265
156	121	264
157	122	264
158	122	263
159	123	262
160	124	262
161	125	261
162	126	260
163	126	259
164	127	259
165	128	258
166	129	257
167	130	257
168	131	256
169	131	255
170	132	255
171	133	254
172	134	253
173	134	252
174	135	252
175	136	251
176	137	250
177	138	249
178	138	249
179	139	248
180	140	247
181	141	247
182	142	246
183	143	245
184	143	244
185	144	244
186	145	243
187	146	242
188	146	241
189	147	241
190	148	240
191	149	239
192	150	238
193	150	238
194	151	237
195	152	236
196	153	236
197	154	235
198	155	234
199	155	233
200	156	233
201	157	232
202	158	231
203	159	230
204	159	230
205	160	229
206	161	228
207	162	227
208	163	227
209	163	226
210	164	225
211	165	224
212	166	224
213	167	223
214	167	222
215	168	221
216	169	221
217	170	220
218	171	219
219	171	218
220	172	217
221	173	217
222	174	216
223	175	215
224	175	214
225	176	214
226	177	213
227	178	212
228	178	211
229	179	211
230	180	210
231	181	209
232	182	208
233	182	207
234	183	206
235	184	206
236	185	205
237	185	204
238	186	203
239	187	202
240	188	202
241	188	201
242	189	200
243	190	199
244	191	199
245	192	198
246	192	197
247	193	196
248	194	195
249	195	195
250	195	194
251	196	193
252	197	192
253	198	191
254	198	191
255	199	190
256	200	189
257	201	188
258	202	188
259	202	187
260	203	186
261	204	185
262	205	184
263	206	184
264	206	183
265	207	182
266	208	181
267	209	181
268	209	180
269	210	179
270	211	178
271	212	177
272	213	177
273	213	176
274	214	175
275	215	174
276	216	174
277	216	173
278	217	172
279	218	171
280	219	170
281	220	170
282	220	169
283	221	168
284	222	167
285	223	167
286	224	166
287	224	165
288	225	164
289	226	164
290	227	163
291	228	162
292	228	161
293	229	160
294	230	160
295	231	159
296	232	158
297	233	158
298	234	157
299	234	156
300	235	155
301	236	155
302	237	154
303	238	153
304	239	153
305	240	152
306	241	151
307	242	150
308	242	150
309	243	149
310	244	148
311	245	147
312	246	147
313	247	146
314	247	145
315	248	144
316	249	144
317	250	143
318	251	142
319	252	141
320	252	141
321	253	140
322	254	139
323	255	138
324	256	137
325	257	137
326	257	136
327	258	135
328	259	134
329	260	134
330	261	133
331	261	132
332	262	131
333	263	130
334	264	130
335	264	129
336	265	128
337	266	127
338	267	126
339	268	126
340	268	125
341	269	124
342	270	123
343	271	123
344	272	122
345	272	121
346	273	120
347	274	119
348	275	119
349	276	118
350	276	117
351	277	116
352	278	116
353	279	115
354	280	114
355	280	113
356	281	112
357	282	112
358	283	111
359	284	110
360	285	109
361	285	109
362	286	108
363	287	107
364	288	106
365	289	105
366	290	105
367	290	104
368	291	103
369	292	102
370	293	101
371	293	101
372	294	100
373	295	99
374	296	98
375	297	98
376	298	97
377	298	96
378	299	95
379	300	94
380	301	94
381	301	93
382	302	92
383	303	91
384	304	90
385	305	90
386	305	89
387	306	88
388	307	87
389	308	86
390	309	86
391	310	85
392	310	84
393	311	83
394	312	83
395	313	82
396	314	81
397	314	80
398	315	79
399	316	79
400	317	78
401	318	77
402	318	76
403	319	75
404	320	75
405	321	74
406	322	73
407	322	72
408	323	72
409	324	71
410	325	70
411	326	69
412	326	68
413	328	68
414	329	67
415	330	66
416	331	65
417	332	65
418	332	64
419	333	63
420	334	62
421	335	61
422	336	61
423	336	60
424	337	59
425	338	58
426	339	58
427	340	57
428	340	56
429	341	55
430	342	54
431	343	54
432	344	53
433	344	52
434	345	51
435	346	50
436	347	50
437	348	49
438	349	48
439	349	47
440	350	46
441	351	46
442	352	45
443	353	44
444	353	43
445	354	42
446	355	42
447	356	41
448	356	40
449	357	39
450	358	38
451	359	38
452	359	37
453	360	36
454	361	35
455	362	34
456	363	34
457	363	33
458	364	32
459	365	31
460	365	30
461	366	30
462	367	29
463	368	28
464	368	27
465	369	26
466	370	26
467	371	25
468	371	24
469	372	23
470	373	22
471	373	22
472	374	21
473	375	20
474	376	19
475	376	19
476	377	18
477	378	17
478	379	16
479	380	15
480	380	15
481	381	14
482	382	13
483	383	12
484	383	11
485	384	11
486	385	10
487	385	9
488	386	8
489	387	7
490	388	7
491	388	6
492	389	5
493	390	4
494	391	3
495	391	3
496	392	2
497	393	1
498	393	0
499	394	0
